School_name,District_name,Location,VDC/Municipality_name,Ward No.,Total Sutdents: 2070
Adarsha Ni Ma Vi,ACHHAM,Kuskot,Kuskot,2,187
Adarsha Pra V,ACHHAM,Badchauki,Timilsain,4,82
Alaknanda Ma Vi,ACHHAM,Tinilsain,Timilsain,5,460
Ambika Pra V,ACHHAM,Pulletala,Pulletola,8,143
Ambika Ma V,ACHHAM,Nanakhal Salyan Danda,Kalikasthan,3,351
Annapurna Uchha Ma V,ACHHAM,Kalagaun,Kalagau,3,842
Arunodaya Pra V,ACHHAM,Kalikasthan,Janalikot,6,110
Asrya Ma V,ACHHAM,Kotbada,Darna,4,496
Asta Siddhi Ma V,ACHHAM,Dhungachalna,Dhungachalna,5,502
Badhimalika Pra V,ACHHAM,Tamkot,Kalekanda,9,67
Bageswori Ni Ma V,ACHHAM,Furkesalla,Muli,9,225
Bageshwori Pra V,ACHHAM,Madugada,Tosi,3,157
Bageshwori Pra V,ACHHAM,Dhamali,Dhamali,2,99
Bageswori Ni Ma Vi,ACHHAM,Laachi,Ghodasen,4,235
Bageshwori Pr Vi,ACHHAM,Baretileka,Baradadivi,6,176
Baguda Pra V,ACHHAM,Baguda,Thanti,1,119
Baidyanath Bed Bidyashram Ni Ma V,ACHHAM,Baiddaynath,Baijinath,2,26
Baijanath Uchha Ma V,ACHHAM,Hadakot,Payal,5,612
Baikuntheshwari Pra V,ACHHAM,Thantikhand,Dhamali,6,215
Bal Bikash Pra V,ACHHAM,Nagatola,Mangalsen,8,82
Bal Bikash Pra V,ACHHAM,Thadagada,Kalagau,6,135
Bal Bikash Pra V,ACHHAM,Kalagau,Kalagau,5,106
Bal Bikash Pra V,ACHHAM,Jabla,Binadhyawasini,5,125
Bal Jyoti Pra V,ACHHAM,Chaphamandu,Chaphamandau,9,40
Bal Kalyan Pra V,ACHHAM,Santada,Santada,8,75
Bal Kalyan Pra V,ACHHAM,Kandakot,Darna,6,253
Bal Kalyan Pra V,ACHHAM,Thadagada,Chaphamandau,3,77
Balmandir Pra V,ACHHAM,Mangalsen,Mangalsen,5,43
Balbatika Pra Vi,ACHHAM,Kalagaun,Kalagau,5,68
Balkalyan P S,ACHHAM,Bhatakatia,Bhatakatiya,6,129
Balkalyan Pra V,ACHHAM,Bhairabsthan,Bhairabsthan,9,158
Balodaya Pra V,ACHHAM,Shodashadevi,Shodasadevi,2,300
Balpargatishil Pra V,ACHHAM,Dhungachalna,Dhungachalna,4,134
Baluthan Pra V,ACHHAM,Thalpata,Bhairabsthan,3,227
Bandali Pra V,ACHHAM,Pastoli,Dhaku,1,101
Bandali Ni Ma V,ACHHAM,Tali,Malatikot,8,257
Bandali P V,ACHHAM,Toshi,Tosi,6,51
Bandevi Ba Bi Ke,ACHHAM,Rahaph,Rahaph,6,234
Janajyoti Ni Ma V,ACHHAM,Rahaph,Rahaph,3,272
Barada Devi Pra V,ACHHAM,Ratimata,Rahaph,3,95
Barchahil E B S,ACHHAM,Mastamandu,Mastamandau,1,227
Bardadevi E B S,ACHHAM,Bardadevi,Mastamandau,7,84
Bardadevi P S,ACHHAM,Timilsen,Timilsain,3,113
Barmasthan Pra Vi,ACHHAM,Psela,Santada,2,118
Basuki Ma Vi,ACHHAM,Nagamandu,Kuskot,2,336
Basundhara U Ma V,ACHHAM,Thalpata,Bhairabsthan,2,563
Bedu Khet Pra V,ACHHAM,Gajara,Bhairabsthan,1,63
Betalmandu Uchha Ma V,ACHHAM,Betaljhad,Ghughurkot,4,389
Betalmandu Pra V,ACHHAM,Hattikote,Hatikot,8,116
Bhagawati Pra V,ACHHAM,Ola,Babala,4,39
Bhagawati Ni Ma V,ACHHAM,Bhandarigaon,Mastamandau,7,299
Bhagawati Pra V,ACHHAM,Jogipani,Mastamandau,7,101
Bhageswori Par Vi,ACHHAM,Kukudakot,Chalsa,9,65
Bhairab Nath Pra V,ACHHAM,Jundhara,Binayak,8,104
Bhairab Ma V,ACHHAM,Lakandra,Bhairabsthan,8,538
Janaprya Pra V,ACHHAM,Rahaph,Rahaph,9,142
Bhanodaya Pra V,ACHHAM,Putru,Khaptad,7,97
Bhawani Devi Ma V,ACHHAM,Dhawolpura,Pulletola,5,416
Bhawani Devi Ni Ma V,ACHHAM,Bhanakot,Kalekanda,7,249
Bhawani Devi Pra V,ACHHAM,Bayala,Bayala,7,171
Bhawani Pra V,ACHHAM,Sayapada,Marku,1,179
Bhawani Pra V,ACHHAM,Sallade,Binadhyawasini,3,144
Bhuwaneswori Ma V,ACHHAM,Barpipal,Kuika,1,459
Bidya Mandir Pra V,ACHHAM,Bagar,Sokat,3,252
Bidya Mandir Uchha Ma V,ACHHAM,Pablibhanjang,Binayak,7,1002
Vhadhyanieash Ni Ma V,ACHHAM,Naule,Dhakari,9,205
Vidhya Pravodini Uchha Ma V,ACHHAM,Sayulekhad,Ghodasen,5,647
Bijaya Pra V,ACHHAM,Ali,Layati,1,78
Bijaya Pra Vi,ACHHAM,Bhairabsthan,Bhairabsthan,4,75
Binda Basini Pra V,ACHHAM,Majhagabada Aami,Bhairabsthan,7,534
Bindewasini Ma V,ACHHAM,Majhathana,Darna,7,368
Bindheswori Uchha Ma V,ACHHAM,Jhadigaun,Sutar,7,644
Bindhewasini E B E,ACHHAM,Bindhewasini,Sutar,0,39
Bindrasaini Ma V,ACHHAM,Katela,Rahaph,4,721
Bishwa Jyoti Pra V,ACHHAM,Devakot,Ghodasen,7,127
Bishwajyoti Ma Vi,ACHHAM,Jaishour,Turmakhand,8,685
Bishwo Jyoti Ni Ma V,ACHHAM,Rima,Dhakari,6,210
Bp Madan Smriti Pra V,ACHHAM,Kangkalna,Kuika,5,113
Bp Smriti Pra V,ACHHAM,Manapokhara,Ghodasen,8,149
Bp Smriti Pra V,ACHHAM,Kumalgauan,Ridikot,4,48
Braham Devsthali Pra V,ACHHAM,Dhamigaun,Risidaha,1,61
Bramhadev Sishu Sadan Pra V,ACHHAM,Chhanna,Nawathana,6,21
Ne Ra Pra V,ACHHAM,Jangalghat,Turmakhand,7,187
Buddha Shanti Pra Vi,ACHHAM,Ratimate,Bayala,5,84
Buddha Shanti Pra V,ACHHAM,Bhulu,Rahaph,9,145
Budhakot Ma V,ACHHAM,Budakot,Bhudhakot,5,496
Budhi Ganga Pra V,ACHHAM,Pipaltola,Jalapadevi,1,100
Chakraswori Ma Vi,ACHHAM,Ghagad,Mastabandali,7,420
Chandikadevi Ma V,ACHHAM,Gopalegaun,Risidaha,4,423
Chandika Ma V,ACHHAM,Kalakada,Kalekanda,1,333
Chandrodaya Pra V,ACHHAM,Rithagaun,Bhageshwor,5,58
Chautara P V,ACHHAM,Nawaghr,Shodasadevi,7,60
Chauthara Pra V,ACHHAM,Shodasadavi,Shodasadevi,7,68
Chetana Pr Vi,ACHHAM,Celkala,Kalikasthan,6,58
Chindak Pra V,ACHHAM,Patalkot,Patalkot,5,82
Daimand E M School,ACHHAM,Binayak,Patalkot,5,136
Dakshinkali Pra V,ACHHAM,Siudi,Siudi,7,54
Dhanwantari Pra V,ACHHAM,Layati,Layati,5,124
Dash Palle Pani Ma V,ACHHAM,Manigada,Sokat,4,527
Daval Pra V,ACHHAM,Bhatbada,Mangalsen,7,143
Daya Pipal Tola Ma V,ACHHAM,Kaphermandu,Lungra,4,385
Deepsikha Ebs,ACHHAM,Mangalsen,Mangalsen,6,280
Deura Devi Pra V,ACHHAM,Sutar,Sutar,9,100
Dev Kanya Pra V,ACHHAM,Thuwa,Lungra,8,126
Deva Laxmi Pra V,ACHHAM,Okhledhunga,Lungra,4,178
Devasthali Pra V,ACHHAM,Gairitade,Birpath,6,89
Devimandu Ma Vi,ACHHAM,Bajhakot,Duni,7,292
Devisthan Pra V,ACHHAM,Matena,Siudi,5,108
Dewaki Ni Ma V,ACHHAM,Katika,Pulletola,9,409
Dhamkot Pra V,ACHHAM,Belpata,Baradadivi,5,110
Dhanwantari Ma V,ACHHAM,Chaukadada,Toli,4,598
Dhawalpura Pra V,ACHHAM,Nepane,Barala,6,146
Dhruba Tara Pra V,ACHHAM,Rimaldada,Raniban,9,210
Dhruba Tara Pra V,ACHHAM,Chaurpati,Siudi,9,116
Ghughurkot Ma V,ACHHAM,Sangramtoli,Ghughurkot,8,288
Dhumra Lochani Pra V,ACHHAM,Dhamigaun,Oligau,3,118
Dipendra Pra V,ACHHAM,Sugali,Kalika,1,53
Dungri Pra V,ACHHAM,Dugri,Sokat,8,231
Durga Devi Ma Vi,ACHHAM,Budabada,Nandegada,4,570
Durga Devi Pra V,ACHHAM,Khadkabada,Patalkot,7,117
Durga Devi Pra V,ACHHAM,Turban,Pulletola,8,175
Dhurga Ni Ma V,ACHHAM,Pipalchour,Chalsa,3,188
Durga Pra V,ACHHAM,Guta,Devisthan,9,28
Farwestrn E M School,ACHHAM,Pipaltola,Devisthan,1,218
Gaguda Ni Ma V,ACHHAM,Gaguda,Sokat,63,281
Ganapath Pra V,ACHHAM,Dada,Kalikasthan,9,107
Ganesh Pra V,ACHHAM,Bannatoli,Bannatoli,1,85
Ganga Ma V,ACHHAM,Tesinge,Janalibandali,3,411
Ganga Pra V,ACHHAM,Tasi,Ghughurkot,6,62
Gangapur Pra V,ACHHAM,Gangapur,Lungra,1,86
Garud Pra V,ACHHAM,Dogara,Santada,5,114
Gauramaheshwar P S,ACHHAM,Mastabandali,Mastabandali,1,48
Gaurishankar Ni Ma V,ACHHAM,Jutitali,Hichma,8,223
Gaurishankar P V,ACHHAM,Sokat,Sokat,2,90
Gautam Buddha Pra V,ACHHAM,Muli,Muli,1,48
Ghatte Danda Ni Ma V,ACHHAM,Sarana,Binadhyawasini,1,162
Gokul Pra V,ACHHAM,Maikadada,Balata,5,155
Goldenlife E B S,ACHHAM,Bardadevi,Baradadivi,1,106
Gupta Devi Pra V,ACHHAM,Sutar,Sutar,5,331
Gurukul Ma V,ACHHAM,Dhakari,Dhakari,1,671
Gyan Deep Pra V,ACHHAM,Lachimana,Mangalsen,3,151
Gyan Jyoti Pra V,ACHHAM,Gangapur Jhakale,Jalapadevi,2,120
Gyanmandir Ma V,ACHHAM,Karod,Balata,8,401
Hansbahini Ma V,ACHHAM,Dandagaun,Devisthan,4,399
Hasulla Pra V,ACHHAM,Thanti,Binayak,3,141
Himalaya Uchha Ma Vi,ACHHAM,Khalshain,Mastamandau,4,304
Himalaya Pra V,ACHHAM,Gajra,Kuskot,2,111
Himalaya Pra V,ACHHAM,Bhuntoli,Mastabandali,8,59
Himalaya Shankar Pra V,ACHHAM,Tosi,Tosi,2,68
Karmalok Pra V,ACHHAM,Lungra,Lungra,1,65
Jagadamba Pra V,ACHHAM,Motena,Chandika,5,36
Jagannath Adrsa Pra V,ACHHAM,Dhakari,Dhakari,5,51
Jaleshwor Pra V,ACHHAM,Sungali,Kalika,2,99
Jalpa Devi Uchha Ma V,ACHHAM,Barapate,Dhaku,8,434
Jalpadevi Ma V,ACHHAM,Mungrachaur,Janalibandali,5,488
Jalpa Devi Pra V,ACHHAM,Gairgaun Gachkot,Dhakari,4,127
Jalpa Devi Pra V,ACHHAM,Ramarosan,Ramarosan,9,51
Jalpa Devi Pra V,ACHHAM,Babachour,Layati,7,127
Jalpadevi Ni Ma V,ACHHAM,Bajgau,Mastabandali,3,200
Jalpa Devi Pra V,ACHHAM,Sigetola,Hichma,3,221
Jalpa Devi Pra V,ACHHAM,Bataligaun,Babala,3,92
Jalpa Devi Pra V,ACHHAM,Kotakodada,Birpath,1,69
Jalpa Devi Pra V,ACHHAM,Danigada,Toli,6,104
Jalpa Devi Pra V,ACHHAM,Gyanegaudi,Oligau,6,59
Jalpa Devi Pra V,ACHHAM,Dhungani,Kuntibandali,6,101
Jalpadevi Pra,ACHHAM,Kalika,Kalika,9,20
Jalpadevi Pra V,ACHHAM,Khaptad,Kalika,3,89
Jalpeswori Ma V,ACHHAM,Nadi,Kuika,6,515
Jana Jagriti Pra V,ACHHAM,Jahteri,Batulasen,5,143
Jana Jagriti Pra V,ACHHAM,Pipalgada,Siddheswor,8,75
Bandevi Pra V,ACHHAM,Rahaph,Rahaph,6,262
Janajyoti Ni Ma Vi,ACHHAM,Dharasain,Baradadivi,8,404
Janakalyan Ma Vi,ACHHAM,Sanphe Bagar,Mastamandau,1,505
Jana Kalyan Pra V,ACHHAM,Rakhni,Mastamandau,9,223
Jana Kalyan Pra V,ACHHAM,Rajbada,Kalikasthan,7,70
Jana Kalyan Ni Ma V,ACHHAM,Dhurgaun,Nada,2,290
Jana Priya Pra V,ACHHAM,Bhudagada,Barala,5,120
Bhairab Pra V,ACHHAM,Rahaph,Rahaph,2,206
Jana Priya Pra V,ACHHAM,Girsain,Toli,1,145
Janakalyan Ni Ma V,ACHHAM,Rakhni,Bhatakatiya,9,295
Janakalyan P V,ACHHAM,Dhungachalna,Dhungachalna,7,118
Janakalyan Pra Vi,ACHHAM,Kuskot,Kuskot,4,94
Janaki Ni Ma Vi,ACHHAM,Gwalekot Athod,Nandegada,7,370
Janasewa Pra Vi,ACHHAM,Hichma,Hichma,7,56
Janata P S,ACHHAM,Guruthape,Kuika,7,77
Janata Pra V,ACHHAM,Gothiphata Sanfe,Siddheswor,1,110
Janata Pra V,ACHHAM,Pipalrukh,Siudi,1,274
Janata Pra V,ACHHAM,Gairegaun,Toli,5,33
Janata Pra V,ACHHAM,Dufa,Dhungachalna,2,52
Janata Pra V,ACHHAM,Siubabla,Babala,7,111
Janata Pra V,ACHHAM,Jogibasale,Pulletola,9,110
Janata Pra V,ACHHAM,Dubaura,Turmakhand,8,119
Janata Pra V,ACHHAM,Chattashain,Bhairabsthan,9,136
Janata Uchha Ma V,ACHHAM,Mellekh,Binadhyawasini,7,856
Janayoti Pra V,ACHHAM,Toli,Binadhyawasini,9,148
Janjagriti Pra V,ACHHAM,Siddheswor,Binadhyawasini,9,81
Jivan Kala Pra V,ACHHAM,Gailad,Dhamali,1,117
Kalika Pra Vi,ACHHAM,Nada,Nada,3,87
Jibanodar Ni Ma V,ACHHAM,Nada,Nada,9,168
Jwalpa Devi Pra V,ACHHAM,Nawathana,Nawathana,1,97
Kageshwori Pra V,ACHHAM,Bhirmod,Balata,5,116
Kailash P S,ACHHAM,Timilsen,Balata,2,14
Kailash Pra V,ACHHAM,Gutapatal,Devisthan,9,134
Kailasheshwor Pra V,ACHHAM,Jupu,Jupu,5,220
Badimalika Pra V,ACHHAM,Ramarosan,Ramarosan,3,111
Kailasheshwor Pra V,ACHHAM,Ghattebagar,Ramarosan,1,135
Kal Bhairab Pra V,ACHHAM,Hatikot,Hatikot,9,91
Kal Bhairab Pra V,ACHHAM,Shiva Mandir,Baijinath,2,44
Kalika Ma Vi,ACHHAM,Thapagaun,Hatikot,6,391
Kalekeswory Pra Vi,ACHHAM,Raniban,Raniban,5,125
Kaleshwori Uchha Ma V,ACHHAM,Turmakhad,Turmakhand,6,549
Kali Pra V,ACHHAM,Badakatiya,Oligau,4,44
Kalikadevi Uchha Ma V,ACHHAM,Hichma,Hichma,4,723
Kalika Devi Pra V,ACHHAM,Patakhani,Pulletola,2,243
Kalika Devi Ni Ma V,ACHHAM,Pariban,Bhatakatiya,2,267
Kalika Devi Pra V,ACHHAM,Salleri,Dhungachalna,9,109
Kalika Devi Ni Ma V,ACHHAM,Dungala,Dhaku,3,301
Kalika Devi Pra V,ACHHAM,Tallopatal,Ramarosan,7,181
Kalika Devi Pra V,ACHHAM,Jhadigaun,Shodasadevi,3,226
Kalika Devi Pra V,ACHHAM,Daya,Mangalsen,4,65
Kalika Devi Pra V,ACHHAM,Antepipal,Mangalsen,2,148
Kalika Devi Pra V,ACHHAM,Padesra,Malatikot,2,46
Kalika Ma V,ACHHAM,Gaurishanker Danda,Patalkot,1,278
Kalika Uchha Ma V,ACHHAM,Baldanda,Jupu,6,379
Kalika Mandir P S,ACHHAM,Sera,Dhungachalna,5,90
Kalika Pra Vi,ACHHAM,Darna,Darna,7,67
Kalika Pra V,ACHHAM,Kuika,Kuika,5,136
Kalika Pra V,ACHHAM,Lungra,Lungra,3,58
Kalika Pra V,ACHHAM,Paiyakot,Janalibandali,6,150
Kalika Pra V,ACHHAM,Siudi,Siudi,4,35
Kalika Ma V,ACHHAM,Koldada,Birpath,4,308
Kalika P S Khaldada,ACHHAM,Khaldada,Basti,4,65
Kalika Pra V,ACHHAM,Diyasala,Basti,4,64
Kalika Pra V,ACHHAM,Bhirku,Devisthan,1,61
Kalika Pra V,ACHHAM,Nawathana,Devisthan,1,36
Kalika Pra V,ACHHAM,Lidi,Kalika,4,81
Kalika Pra V,ACHHAM,Tikhan,Balata,4,129
Kalika Pra V,ACHHAM,Sutuda,Oligau,6,87
Kalika Pra V,ACHHAM,Sugurkhal,Siddheswor,5,59
Kalika Pra V,ACHHAM,Khada,Kuskot,9,117
Kalika Pra V,ACHHAM,Kati,Risidaha,3,183
Kalika Pra V,ACHHAM,Panchdeval,Dhamali,5,177
Kalika Pra Vi,ACHHAM,Dhobandada,Chalsa,2,33
Kalika Pra V,ACHHAM,Khaldanda,Basti,4,44
Kalika Pra V,ACHHAM,Parmuli,Sokat,5,169
Kalika Pra V,ACHHAM,Khirichauka,Muli,2,164
Shiva Pra V,ACHHAM,Basti,Basti,7,90
Kalika Ni Ma V,ACHHAM,Birku,Bannatoli,9,293
Kalikeswori Ma V,ACHHAM,Bains,Nada,6,442
Kamal Ni Ma V,ACHHAM,Chissi,Turmakhand,4,302
Kamal Pra V,ACHHAM,Sannikhat,Risidaha,2,131
Kameswori Ma V,ACHHAM,Talauni,Raniban,2,482
Kapharmandu Pra V,ACHHAM,Goielapani,Jalapadevi,6,163
Bhagawati Pra V,ACHHAM,Dhungachalna,Dhungachalna,6,131
Karna Pra V,ACHHAM,Budhaakot,Dhungachalna,9,67
Karneswori Ni Ma V,ACHHAM,Bhairi Tolyan,Bhatakatiya,8,102
Katyayani U Ma V,ACHHAM,Hattibaj,Birpath,9,403
Kawalekha Ni Ma V,ACHHAM,Kawalekhah,Sera,5,306
Kedar Nath Pra V,ACHHAM,Jadi,Sera,2,96
Khalchaur Pra V,ACHHAM,Budaboda,Basti,8,115
Khamb Pra V,ACHHAM,Mistru,Kuntibandali,2,135
Khambeswori Pra V,ACHHAM,Toli,Toli,6,86
Khapar Pra V,ACHHAM,Chaukhutte,Binadhyawasini,6,122
Khaptad Pra V,ACHHAM,Verasaini,Khaptad,9,66
Kitola Ni Ma V,ACHHAM,Kimtola,Sutar,1,171
Kindar Garden Ebs,ACHHAM,Siddheswor,Siddheswor,2,277
Kokila Pra V,ACHHAM,Cheuri,Bannatoli,7,102
Krishna Ma Vi,ACHHAM,Dahapata,Nawathana,4,306
Krishna Pra V,ACHHAM,Bashlla,Dhakari,2,81
Krishan Ni Ma V,ACHHAM,Dupke,Birpath,3,196
Krishna Pra V,ACHHAM,Kujeda,Kalikasthan,1,88
Krishna Ni Ma V,ACHHAM,Birgaun,Batulasen,8,312
Kuikale Pra V,ACHHAM,Okhategada,Barala,8,214
Kuldev P S,ACHHAM,Vudhakot,Bhudhakot,6,62
Kuldevi Prfa Vi,ACHHAM,Budhakot,Bhudhakot,6,71
Kunti Ma Vi,ACHHAM,Suwakhad,Kuntibandali,4,465
Laxmi Ni Ma V,ACHHAM,Gaudimandau,Marku,4,228
Laxminiwash Ni Ma V,ACHHAM,Kolinada,Nada,8,338
Laxmi Ni Ma V,ACHHAM,Gadsil,Lungra,9,187
Laxmi Pra V,ACHHAM,Dhargaun,Batulasen,3,148
Madan Ashrit Pra V,ACHHAM,Kadyatgaun,Binayak,6,95
Madan Ashrit Pra V,ACHHAM,Dote,Bhageshwor,9,53
Madan Ashrit Pra V,ACHHAM,Mauregaun,Dhakari,5,112
Madarshadarul Kuruwan P V,ACHHAM,Chandika,Chandika,5,23
Magalasaini Pra Vi,ACHHAM,Kuika,Kuika,2,63
Maha Laxmi Pra V,ACHHAM,Palchour,Dhamali,1,143
Maha Laxmi Pra V,ACHHAM,Gode,Turmakhand,6,96
Mahamandir Ni Ma Vi,ACHHAM,Lodae,Bhairabsthan,7,234
Maha Saraswati Pra V,ACHHAM,Layati,Layati,9,32
Mahakali Ma V,ACHHAM,Sainjimkot,Kuika,3,403
Mahakali Pra V,ACHHAM,Chuchi,Devisthan,8,86
Mahalaxmi Pra Vi,ACHHAM,Kalekanda,Kalekanda,3,109
Mahendra Uchha Ma V,ACHHAM,Chandika,Chandika,4,1200
Mahendra Ma V,ACHHAM,Totkesal,Kalikasthan,2,216
Malika Devi Ni Ma V,ACHHAM,Banne,Toli,9,275
Malika Pra Vi,ACHHAM,Sukijada,Shodasadevi,6,25
Malika Ma V,ACHHAM,Tikhapatal,Barala,3,513
Malika Pra Vi,ACHHAM,Hichma,Hichma,6,62
Malika Pra V,ACHHAM,Gairigaun,Rahaph,7,140
Malika Pra V,ACHHAM,Daunamora,Balata,6,99
Malika Pra V,ACHHAM,Thulasain,Janalibandali,2,122
Malika Ni Ma Vi,ACHHAM,Dhogdina,Kuskot,6,298
Malika Pra V,ACHHAM,Salrukh,Kalikasthan,6,98
Malika Ma V,ACHHAM,Timu,Dhungachalna,2,338
Malika Pra V,ACHHAM,Raktudada,Kuntibandali,9,169
Malika Publick E B S,ACHHAM,Binayak,Kuntibandali,5,175
Mamohan Smriti Pra Vi,ACHHAM,Sera,Sera,1,22
Manakamana Devi Ni Ma V,ACHHAM,Jagma,Sera,1,276
Manakamana Ma V,ACHHAM,Balanta,Balata,3,445
Manakamana Pra V,ACHHAM,Moya,Dhungachalna,3,160
Manakamana Pra V,ACHHAM,Janalibandali,Janalibandali,7,45
Mandakini Pra V,ACHHAM,Kalapani,Santada,4,108
Mangala Ne Ra Uchha Ma V,ACHHAM,Khaphaligada,Oligau,8,575
Mangala Pra V,ACHHAM,Kolakatiya,Oligau,9,51
Mangalasaini Ni Ma Vi,ACHHAM,Dupalta,Nandegada,5,254
Mangalasaini Pra V,ACHHAM,Tallabada,Jupu,2,92
Mangaleswori Pra V,ACHHAM,Mansain,Kuika,2,87
Mangaleswori Ni Ma V,ACHHAM,Dhuwa Danda,Kuika,8,223
Mangaleswori Pra Vi,ACHHAM,Chalsa,Chalsa,7,56
Masta Bandali Pra V,ACHHAM,Patal,Siudi,8,284
Mastadev Pra V,ACHHAM,Dansain,Layati,2,61
Mastamandu Pra V,ACHHAM,Tali,Malatikot,6,160
Mastamandu Pra V,ACHHAM,Bahungaun,Patalkot,2,144
Mastamandu Pra V,ACHHAM,Kusbasti,Mangalsen,6,68
Mastamandu Pra V,ACHHAM,Gairigaun,Binayak,1,192
Mastamandu Pra V,ACHHAM,Ligunsain,Duni,9,120
Mastamandu Ni Ma V,ACHHAM,Chauki Payal,Payal,9,409
Mastamandu Pra V,ACHHAM,Majhgaun,Risidaha,9,271
Mastamandu Pra V,ACHHAM,Prabha Dikreni,Siddheswor,9,105
Masteshwori Pra V,ACHHAM,Dhamigaun,Siddheswor,9,89
Matri Sishu Pra V,ACHHAM,Mandu,Kuika,2,91
Matri Sishu Pra V,ACHHAM,Mandu,Kuika,1,134
Menaka Ma V,ACHHAM,Tulta,Raniban,2,478
Mother Land Ebs,ACHHAM,Mangalsen,Mangalsen,5,206
Mracel E B S,ACHHAM,Bayala,Bayala,2,29
Nagatola Pra V,ACHHAM,Jhadbazar,Payal,4,173
Namuna Pra V,ACHHAM,Tolipata,Kuskot,3,71
Nanda Devi Pra V,ACHHAM,Malati Kot,Malatikot,3,185
Nanda Devi Pra V,ACHHAM,Dhanasalla,Ramarosan,2,83
Nanda Kali Ni Ma V,ACHHAM,Santa,Batulasen,2,290
Nanda Uchha Ma Vi,ACHHAM,Bahun Gaun,Kalika,5,523
Nandamata Ni Ma Vi,ACHHAM,Dadasiri,Risidaha,5,493
Nanda Mata Pra V,ACHHAM,Nagardarna,Darna,1,135
Nanda Mata Pra V,ACHHAM,Sutar,Sutar,3,101
Nanda Mata Pra V,ACHHAM,Male Chouka,Binadhyawasini,9,127
Nanda Pra V,ACHHAM,Dobharsha,Binadhyawasini,9,68
Nanda Pra Vi,ACHHAM,Domarsa,Baradadivi,9,66
Nandamata Bal Bikas Kendra,ACHHAM,Bhatakatiya,Bhatakatiya,5,17
Nandeswori Uchha Ma V,ACHHAM,Madigada,Shodasadevi,5,616
Naukhama P V,ACHHAM,Toshi,Tosi,8,71
Navadurga P S,ACHHAM,Thanti,Thanti,5,182
Navadurga P V,ACHHAM,Bayala,Bayala,1,100
Nawa Dev Pra V,ACHHAM,Sajena,Bayala,1,109
Nawadurga Ma V,ACHHAM,Chadena,Batulasen,4,318
Nawa Durga Pra V,ACHHAM,Pherebata,Ghodasen,5,201
Nawa Durga Pra V,ACHHAM,Hatikot,Hatikot,9,67
Nawa Durga Pra V,ACHHAM,Sallena,Janalikot,7,93
Nawa Durga Pra V,ACHHAM,Jamalgaun,Chandika,8,60
Nawadurga Pra Vi,ACHHAM,Jampani,Nada,1,104
Nawadhurga Ni Ma V,ACHHAM,Ranku,Kalekanda,4,359
Nawa Durga Pra V,ACHHAM,Chausal Baguda,Kalekanda,5,174
Nawa Durga Pra V,ACHHAM,Chulthe,Ghughurkot,9,107
Nawa Jyoti Ma V,ACHHAM,Layati,Layati,6,553
Nawa Prabhat Pra V,ACHHAM,Roal,Kalagau,2,96
Nawadhurga Pra Vi,ACHHAM,Kushkot,Kuskot,3,145
Nawadhurga Pra Vi,ACHHAM,Dahakhal,Kalikasthan,8,54
Nawadip Pra Vi,ACHHAM,Chaur,Kalikasthan,4,83
Nawadurga Pr Vi,ACHHAM,Barala,Barala,9,42
Nawadurga Pra V,ACHHAM,Tadigaira,Ramarosan,5,265
Nawajagaran Pra V,ACHHAM,Tallo Tuka,Ramarosan,1,172
Nawajoity Pra V,ACHHAM,Khatiketh,Shodasadevi,6,46
Nawajoyti Pra Vi,ACHHAM,Ramasosan,Ramarosan,8,37
Nawdurga Pra V,ACHHAM,Siudi,Siudi,7,49
Nayaram E B School,ACHHAM,Dhakari,Siudi,3,21
Ne Ra Pra Vi,ACHHAM,Rahaph,Rahaph,5,85
Nepan Rastriya U Ma V,ACHHAM,Sajegada,Chaphamandau,6,440
Nepal Rastriya Ma V,ACHHAM,Salghari,Bayala,2,500
Nepal Rastriya Pra V,ACHHAM,Kunigada,Raniban,4,166
Nil Kamal Pra V,ACHHAM,Santada,Raniban,9,147
Nilakantha Ni Ma V,ACHHAM,Patal,Ramarosan,8,581
Pabitra Pra V,ACHHAM,Pulletola,Ramarosan,7,79
Padmasan Ni Ma V,ACHHAM,Sera,Sera,7,214
Pancha Dewal Pra V,ACHHAM,Dharmaghar,Binayak,5,82
Panchajyoti Ni Ma V,ACHHAM,Galwala,Dhungachalna,7,126
Panchajoyti Ni Ma V,ACHHAM,Cheutekhal,Hichma,9,205
Karmachandra Ni Ma V,ACHHAM,Amgaun,Dhungachalna,1,215
Pancha Kanya Pra V,ACHHAM,Moyakanda,Dhungachalna,5,184
Panchakoti Pra V,ACHHAM,Dandagade,Duni,1,164
Panimul Pra V,ACHHAM,Mangalsen,Mangalsen,9,111
Parwati Ma V,ACHHAM,Bannatoli,Bannatoli,6,491
Pashupati U Ma V,ACHHAM,Sunpipal,Chalsa,6,471
Pashupati Pra V,ACHHAM,Chudetola,Batulasen,1,181
Pasupatijankalyan Pra Vi,ACHHAM,Dhungachalna,Dhungachalna,9,184
Pawan Pra V,ACHHAM,Kundali,Dhungachalna,2,46
Pingaladevi Ma V,ACHHAM,Malatikot,Malatikot,1,279
Pipalchaur Uchha Ma Vi,ACHHAM,Baguda,Thanti,3,432
Pipalsen Ma Vi,ACHHAM,Darwa,Thanti,7,410
Pipalchaur Pra V,ACHHAM,Thapagaun,Hatikot,4,38
Pipalchur Par Vi,ACHHAM,Hattikot,Hatikot,0,45
